,Person,Subcategory,Category
288,J. Lilian Vandevere,American writers,Writers
289,Kenny Williams (educator),American writers,Writers
290,Abhijit Banerjee,American writers,Writers
291,Russell G. Hamilton,American writers,Writers
292,Lorrie Goulet,American writers,Writers
293,Robert Allan Black,American writers,Writers
294,Charles Calomiris,American writers,Writers
295,Lydia Kang,American writers,Writers
296,Ralph Ketcham,American writers,Writers
297,G. Hepburn Wilson,American writers,Writers
298,Esau Jenkins,American writers,Writers
299,Jamal Joseph,American writers,Writers
300,Rose Mary Salum,American writers,Writers
301,Francisco X. Stork,American writers,Writers
302,Charles B. Fairbanks,American writers,Writers
303,Jennie Darlington,American writers,Writers
304,Frank Gee Patchin,American writers,Writers
305,Tim Carvell,American writers,Writers
306,Phil Burgers,American writers,Writers
307,Thomas E. Hill (author),American writers,Writers
308,Elie Mystal,American writers,Writers
309,Jon Sharpe,American writers,Writers
310,Janelle Wong,American writers,Writers
311,Harlan Hoge Ballard,American writers,Writers
312,Robert A. Jensen,American writers,Writers
313,William Jones (game designer),American writers,Writers
314,Matthew Chozick,American writers,Writers
315,Joseph Seamon Cotter Jr.,American writers,Writers
316,Robbie Turner (drag queen),American writers,Writers
317,Lawrence Svobida,American writers,Writers
318,Doon Arbus,American writers,Writers
319,Lionel Walford,American writers,Writers
320,Ed Goodgold,American writers,Writers
321,John A. Williams,American writers,Writers
322,Liana Finck,American writers,Writers
323,Bianca Williams (anthropologist),American writers,Writers
324,Ethel Duffy Turner,American writers,Writers
325,Lián Amaris,American writers,Writers
326,Kris Paronto,American writers,Writers
327,Mikel Harry,American writers,Writers
328,Horace Griffin,American writers,Writers
329,Mir Sadat,American writers,Writers
330,Rudolph Borchert,American writers,Writers
331,Linda Ravin Lodding,American writers,Writers
332,Andrew Sandoval,American writers,Writers
333,Stanley A. Weiss,American writers,Writers
334,Jeremy R. Haft,American writers,Writers
335,Alejandro Escovedo,American writers,Writers
336,Harry Allard,American writers,Writers
337,Fredrik Stanton,American writers,Writers
338,Jordan Ellenberg,American writers,Writers
339,Ruth Whitman,American writers,Writers
340,Mark Edmundson,American writers,Writers
341,Patricia Vaccarino,American writers,Writers
342,Nathan Masters,American writers,Writers
343,Judy Alter,American writers,Writers
344,James Dubik,American writers,Writers
345,James Magruder,American writers,Writers
346,James McBride Dabbs,American writers,Writers
347,Neville Lancelot Goddard,American writers,Writers
348,David Morris (writer),American writers,Writers
349,George Dempsey (diplomat),American writers,Writers
350,Bryan Cogman,American writers,Writers
351,Angela J. Davis,American writers,Writers
352,M. M. Mangasarian,American writers,Writers
353,Pop Mhan,American writers,Writers
354,Gertrude Schalk,American writers,Writers
355,Dominique Jackson (model),American writers,Writers
356,Lisa Alther,American writers,Writers
357,LeeAnne Locken,American writers,Writers
358,John Peck (sergeant),American writers,Writers
359,Wade Cook,American writers,Writers
360,Joseph Borkin,American writers,Writers
361,Mark E. Kalmansohn,American writers,Writers
362,Amei Wallach,American writers,Writers
363,Christopher Perrin,American writers,Writers
364,Howard P. Willens,American writers,Writers
365,Stephen Richards Graubard,American writers,Writers
366,Hugh Ryan,American writers,Writers
367,Michelle Kennedy,American writers,Writers
368,Edith J. Agnew,American writers,Writers
369,William James Roe,American writers,Writers
370,Greg Starr,American writers,Writers
371,Jana Bommersbach,American writers,Writers
372,Miyoko Schinner,American writers,Writers
373,Susan B. Anthony II,American writers,Writers
374,Timber Hawkeye,American writers,Writers
375,Cathryn Michon,American writers,Writers
376,Ken Segall,American writers,Writers
377,Paul Winchell,American writers,Writers
378,Frances Ellen Watkins Harper,American writers,Writers
379,Paul L. Hoefler,American writers,Writers
380,Augustus Gabriel de Vivier Tassin,American writers,Writers
381,Will Byrne,American writers,Writers
382,Robert Simpson (writer),American writers,Writers
383,Sonja Livingston,American writers,Writers
384,William Boniface,American writers,Writers
385,Femi Emiola,American writers,Writers
386,Gayle Wald,American writers,Writers
387,Bill Zehme,American writers,Writers
388,Jarrett Williams,American writers,Writers
389,Gordon Daugherty,American writers,Writers
390,Frank Schulman,American writers,Writers
391,Ellen Simpson,American writers,Writers
392,Steven Stolman,American writers,Writers
393,Mary Young Ridenbaugh,American writers,Writers
394,Peter Greer,American writers,Writers
395,Eileen Kelly,American writers,Writers
396,Ebony Elizabeth Thomas,American writers,Writers
397,Dale Salwak,American writers,Writers
398,Stephen R. Johnson,American writers,Writers
399,Eleanor Zelliot,American writers,Writers
400,Sigrid Nielsen,American writers,Writers
401,Gabe Dunn,American writers,Writers
402,Meredith Talusan,American writers,Writers
403,James A. Swan,American writers,Writers
404,Shannon Bahrke,American writers,Writers
405,Yechiel Eckstein,American writers,Writers
406,Scott Hechinger,American writers,Writers
407,Charles Trieschmann,American writers,Writers
408,James Raser,American writers,Writers
409,Donald O. Clifton,American writers,Writers
410,Alison Weir (activist),American writers,Writers
411,Faber Birren,American writers,Writers
412,Mark Epstein,American writers,Writers
413,Ellen Tarry,American writers,Writers
414,John K. Byrne,American writers,Writers
415,Danny Monico,American writers,Writers
416,Ree Soesbee,American writers,Writers
